"","samplename","id","group","timepoint","rnaconc","totalng","libbatch","condition","num_condition"
"X1","X1","W2-2","SKA2-sh1","2 weeks",60,900,1,"SKA2_KD_week2",3
"X2","X2","W2-3","SKA2-sh1","2 weeks",64,960,1,"SKA2_KD_week2",3
"X3","X3","W2-4","SKA2-sh1","2 weeks",78,1170,1,"SKA2_KD_week2",3
"X4","X4","W2-5","SCR","2 weeks",86,1290,1,"SCR_week2",1
"X5","X5","W2-7","SCR","2 weeks",54,810,1,"SCR_week2",1
"X6","X6","W2-8","SCR","2 weeks",50,750,1,"SCR_week2",1
"X7","X7","W2-9","SKA2-sh1","2 weeks",77,1155,1,"SKA2_KD_week2",3
"X8","X8","W2-11","SKA2-sh1","2 weeks",60,900,1,"SKA2_KD_week2",3
"X9","X9","W2-12","SCR","2 weeks",60,900,1,"SCR_week2",1
"X10","X10","W2-14","SCR","2 weeks",71,1065,1,"SCR_week2",1
"X11","X11","W2-16","SCR","2 weeks",55,825,1,"SCR_week2",1
"X12","X12","W2-17","SKA2-sh1","2 weeks",117,1755,1,"SKA2_KD_week2",3
"X13","X13","W2-18","SKA2-sh1","2 weeks",124,1860,1,"SKA2_KD_week2",3
"X14","X14","W2-19","SCR","2 weeks",67,1005,1,"SCR_week2",1
"X15","X15","W2-20","SKA2-sh1","2 weeks",65,975,1,"SKA2_KD_week2",3
"X16","X16","W2-21","SCR","2 weeks",81,1215,1,"SCR_week2",1
"X17","X17","W4-1","SCR","4 weeks",80,1200,1,"SCR_week4",2
"X18","X18","W4-2","SKA2-sh1","4 weeks",45,675,1,"SKA2_KD_week4",4
"X19","X19","W4-4","SKA2-sh1","4 weeks",46,690,1,"SKA2_KD_week4",4
"X20","X20","W4-5","SKA2-sh1","4 weeks",39,585,1,"SKA2_KD_week4",4
"X21","X21","W4-6","SCR","4 weeks",60,900,1,"SCR_week4",2
"X22","X22","W4-8","SKA2-sh1","4 weeks",62,930,1,"SKA2_KD_week4",4
"X23","X23","W4-9","SCR","4 weeks",58,870,1,"SCR_week4",2
"X24","X24","W4-10","SKA2-sh1","4 weeks",59,885,2,"SKA2_KD_week4",4
"X25","X25","W4-11","SKA2-sh1","4 weeks",54,810,2,"SKA2_KD_week4",4
"X26","X26","W4-13","SKA2-sh1","4 weeks",56,840,2,"SKA2_KD_week4",4
"X27","X27","W4-16","SCR","4 weeks",96,1440,2,"SCR_week4",2
"X28","X28","W4-18","SCR","4 weeks",75,1125,2,"SCR_week4",2
"X29","X29","W4-19","SCR","4 weeks",84,1260,2,"SCR_week4",2
"X30","X30","W4-20","SKA2-sh1","4 weeks",59,885,2,"SKA2_KD_week4",4
"X31","X31","W4-21","SCR","4 weeks",84,1260,2,"SCR_week4",2
"X32","X32","W4-26","SCR","4 weeks",87,1305,2,"SCR_week4",2
